,Unnamed: 0,id,title,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
1331,1466,ts56674,The Mr. Peabody & Sherman Show,SHOW,2015,23,5.7,433.0,6.315,7.4
1333,1468,ts35360,Inspector Gadget,SHOW,2015,21,4.5,614.0,9.398,6.9
1336,1472,ts37779,Danger Mouse,SHOW,2015,12,7.2,579.0,8.182,7.6
1339,1475,ts42089,Haters Back Off,SHOW,2016,30,6.1,7183.0,8.147,6.4
1340,1476,ts42075,Intersection,SHOW,2016,97,6.7,1152.0,10.782,5.4
1341,1477,ts43272,Terrace House: Boys & Girls in the City,SHOW,2015,29,8.1,1624.0,4.264,8.0
1343,1479,ts41883,The K2,SHOW,2016,65,7.9,5615.0,74.751,7.5
1344,1480,ts36630,Dinotrux,SHOW,2015,23,6.8,458.0,18.042,7.1
1345,1481,ts41260,"Hello, My Twenties!",SHOW,2016,63,8.3,2127.0,15.225,7.3
1346,1482,ts39017,Dawn of the Croods,SHOW,2015,23,5.8,712.0,43.241,7.7
1347,1484,ts38757,Kong: King of the Apes,SHOW,2016,21,5.9,325.0,11.297,6.5
1350,1487,ts35596,Bella and the Bulldogs,SHOW,2015,23,5.0,2114.0,11.756,7.9
1351,1488,ts144323,Unnatural Selection,SHOW,2015,35,8.1,12.0,5.531,7.6
1353,1490,ts42218,Sin senos sí hay paraíso,SHOW,2016,47,6.5,546.0,285.361,7.5
1354,1491,ts38512,Cooked,SHOW,2016,53,7.6,43.0,4.669,7.5
1358,1496,ts41294,Mossad 101,SHOW,2015,42,6.8,632.0,4.877,5.9
1360,1498,ts43501,Secrets of Great British Castles,SHOW,2015,51,7.8,1031.0,2.774,7.4
1361,1499,ts42628,Netflix Presents: The Characters,SHOW,2016,31,5.3,835.0,3.998,5.1
1362,1500,ts36740,Project Mc²,SHOW,2015,24,6.1,985.0,14.028,8.0
1364,1503,ts53106,Tokyo Trial,SHOW,2016,49,7.4,1544.0,6.903,6.9
1365,1504,ts41253,Love O2O,SHOW,2016,45,8.0,2322.0,5.592,6.0
1367,1506,ts38717,Good Morning Call,SHOW,2016,48,7.7,3088.0,12.751,7.1
1370,1509,ts58068,Inside the World's Toughest Prisons,SHOW,2016,48,7.1,2747.0,3.8,7.4
1373,1512,ts38805,Beat Bugs,SHOW,2016,15,7.6,522.0,6.351,6.6
1376,1516,ts52988,Captive,SHOW,2016,63,6.8,724.0,3.779,6.8
1379,1519,ts38761,Another Miss Oh,SHOW,2016,69,7.9,1769.0,22.672,8.2
1382,1522,ts56748,T@gged,SHOW,2016,22,7.3,2012.0,12.18,8.0
1385,1525,ts43230,The Deep,SHOW,2015,22,8.1,645.0,11.108,8.4
1386,1526,ts56032,La Niña,SHOW,2016,45,8.3,642.0,21.243,7.7
1388,1528,ts55559,Ask the Storybots,SHOW,2016,26,8.4,870.0,13.727,8.2
1391,1531,ts75324,La esclava blanca,SHOW,2016,41,8.1,575.0,25.176,7.4
1395,1535,ts54100,World of Winx,SHOW,2016,23,6.6,715.0,4.724,8.1
1399,1539,ts31593,Pororo the Little Penguin,SHOW,2016,8,6.3,88.0,5.458,5.0
1401,1541,ts74917,72 Cutest Animals,SHOW,2016,27,5.7,433.0,3.205,6.5
1402,1542,ts35463,Richie Rich,SHOW,2015,22,3.1,1041.0,14.932,6.3
1413,1553,ts55966,LEGO Friends: The Power of Friendship,SHOW,2016,23,6.5,49.0,9.137,7.7
1417,1558,ts86831,The Good Cop,SHOW,2015,30,7.7,370.0,5.028,7.0
1419,1560,ts74753,Tales by Light,SHOW,2015,27,8.3,1905.0,5.48,7.9
1422,1564,ts53065,One More Time,SHOW,2016,31,6.9,564.0,4.321,7.2
1423,1565,ts54010,My Runway,SHOW,2016,25,6.3,261.0,10.581,7.6
1426,1568,ts38772,Dear My Friends,SHOW,2016,70,8.2,355.0,4.472,7.8
1427,1569,ts83224,Toon,SHOW,2016,27,7.6,890.0,3.812,8.3
1428,1570,ts53149,White Nights,SHOW,2016,62,6.9,287.0,4.329,8.0
1430,1572,ts57705,The Paper,SHOW,2016,48,7.4,64.0,10.121,7.6
1435,1577,ts74929,H20: Mermaid Adventures,SHOW,2015,24,5.7,182.0,10.146,8.8
1438,1580,ts54022,Terrace House: Aloha State,SHOW,2016,36,7.5,979.0,14.596,8.2
1439,1581,ts43258,Stories by Rabindranath Tagore,SHOW,2015,43,8.8,1295.0,4.367,8.8
1440,1582,ts55365,The Haunted House,SHOW,2016,25,8.4,71.0,13.649,10.0
1441,1584,ts42011,Cheer Squad,SHOW,2016,42,7.2,166.0,1.321,8.0
1445,1588,ts55223,72 Dangerous Places to Live,SHOW,2016,49,6.2,344.0,2.022,6.0
